key.id,value.user_id,value.course_id,value.type,value.created_at,value.updated_at,value.start_at,value.end_at,value.workflow_state,value.total_activity_time,value.last_activity_at
1453419,74599,30592,TeacherEnrollment,2024-10-29T08:06:18.211Z,2024-10-29T09:18:24.456Z,,,active,5236.0,2024-10-29T10:46:42.101Z
1453429,109202,28741,StudentViewEnrollment,2024-10-29T09:37:04.844Z,2024-10-29T09:37:04.844Z,,,active,,2024-10-29T09:37:05.884Z
1453427,93418,30160,StudentEnrollment,2024-10-29T09:32:29.516Z,2024-10-29T09:32:29.516Z,,,active,,2024-10-29T19:19:56.795Z
1453428,109202,28741,StudentViewEnrollment,2024-10-29T09:37:04.735Z,2024-10-29T09:37:04.735Z,,,active,,2024-10-29T09:37:05.884Z
1453425,89493,30160,StudentEnrollment,2024-10-29T09:31:19.899Z,2024-10-29T09:31:19.899Z,,,active,,
1453426,83545,30160,StudentEnrollment,2024-10-29T09:31:53.396Z,2024-10-29T09:31:53.396Z,,,active,134786.0,2024-10-29T21:19:40.974Z
1453423,67227,30160,StudentEnrollment,2024-10-29T09:30:53.971Z,2024-10-29T09:30:53.971Z,,,active,123889.0,2024-10-29T11:33:54.215Z
1453424,94613,30160,StudentEnrollment,2024-10-29T09:31:06.765Z,2024-10-29T09:31:06.765Z,,,active,66910.0,2024-10-29T16:10:26.960Z
1453421,4862,28833,TeacherEnrollment,2024-10-29T08:52:46.260Z,2024-10-29T10:08:34.692Z,,,active,1114.0,2024-10-29T10:37:05.786Z
1453422,87884,29931,TeacherEnrollment,2024-10-29T09:15:34.469Z,2024-10-29T09:15:34.469Z,,,invited,,
1453420,86015,28525,TeacherEnrollment,2024-10-29T08:48:38.415Z,2024-10-29T11:32:36.424Z,,,active,137.0,2024-10-29T11:34:54.341Z
1453436,109204,23876,StudentViewEnrollment,2024-10-29T09:48:01.605Z,2024-10-29T09:48:01.605Z,,,active,,2024-10-29T09:48:02.462Z
1453434,41495,29325,TeacherEnrollment,2024-10-29T09:42:57.724Z,2024-10-29T11:06:01.930Z,,,active,,
