plnr,studieprogram,campus,år,termin
65,HSPED,Stord,2023,Høst
252,MPUV,Bergen,2023,Vår
266,V-UVNN,Bergen,2024,Høst
347,B-KVL,Bergen,2024,Høst
360,HSPED,Stord,2024,Høst
496,MPUV,Bergen,2023,Vår
569,KFK-MAB1-N,Bergen,2024,Høst
636,EVUEFLKI,Bergen,2023,Høst
663,MADL,Bergen,2024,Høst
683,MA-INND,Bergen,2020,Høst
706,V-UVN,Bergen,2024,Høst
755,PHD,Bergen,2015,Høst
849,MADL,Førde,2021,Høst
1020,PHDINN,Bergen,2021,Vår
1073,MADL,Bergen,2022,Høst
1166,EVUEFLKI,Bergen,2024,Høst
1173,MADL,Bergen,2024,Høst
1177,KFK-VEIL,Bergen,2024,Høst
1182,KK-ANDR,Bergen,2024,Høst
1337,PHD,Bergen,2017,Høst
1419,EVUFLKI,Bergen,2024,Høst
1526,MA-KSK,Bergen,2022,Høst
1533,MARA,Bergen,2022,Høst
1534,MPUV,Bergen,2023,Vår
1616,BBARN,Sogndal,2024,Høst
1680,PHDH,Bergen,2019,Høst
1687,MKUF,Stord,2024,Høst
1746,VTPHR,Førde,2024,Høst
1760,MADL,Bergen,2018,Høst
1883,MPUV,Bergen,2021,Vår
1961,MADL,Bergen,2022,Høst
1963,BSYK,Bergen,2024,Høst
2018,MKUF,Bergen,2022,Høst
2081,YFL3,Bergen,2024,Høst
2148,VRA,Bergen,2023,Høst
2251,MADL,Førde,2021,Høst
2285,V-UVN,Bergen,2024,Høst
2292,MDIP,Bergen,2024,Vår
2481,KFK-GLSM,Bergen,2024,Høst
2546,HSPED,Stord,2024,Høst
2734,EVUEFLKI,Bergen,2024,Høst
3024,MPUV,Bergen,2024,Vår
3026,MKUF,Bergen,2023,Høst
3066,YFL3,Bergen,2024,Høst
3216,PHD,Bergen,2023,Høst
3221,MADL,Bergen,2024,Høst
3363,MDIP,Bergen,2023,Vår
3369,PHD,Bergen,2019,Vår
3376,KFK-MAB1-N,Bergen,2024,Høst
3442,VTPHR,Bergen,2024,Høst
3622,MA-FYS,Bergen,2022,Høst
3740,MPUV,Bergen,2024,Vår
3872,MADL,Bergen,2022,Høst
4007,MKUF,Bergen,2022,Høst
4063,MASP,Bergen,2024,Høst
