0,1,2,3,4
1,Standardsemester,,,2017-03-27 16:51:57
221,2024 VÅR,,,2023-05-01 06:14:37
222,2024 VÅR-2025 VÅR,,,2023-05-01 06:14:37
7,2017 VÅR,,,2017-12-05 18:19:16
223,2023 HØST-2024 HØST,,,2023-05-01 06:14:37
11,2018 HØST,,,2018-02-08 01:02:22
224,2024 VÅR-2025 HØST,,,2023-05-01 06:14:37
13,2018 VÅR-2019 VÅR,,,2018-02-16 01:02:00
225,2024 VÅR-2024 HØST,,,2023-05-01 06:14:37
15,2018 HØST-2019 VÅR,,,2018-03-15 01:03:01
226,2023 HØST-2025 VÅR,,,2023-05-01 06:14:37
17,2017 VÅR-2017 HØST,,,2018-03-28 01:07:14
227,2023 HØST-2027 VÅR,,,2023-05-01 06:14:37
19,2016 HØST-2018 HØST,,,2018-03-28 01:07:14
228,2024 VÅR-2027 HØST,,,2023-05-01 06:14:37
21,2017 VÅR-2018 VÅR,,,2018-03-28 01:07:14
220,2023 HØST,,,2023-05-01 06:14:37
23,2016 HØST-2020 VÅR,,,2018-03-28 01:07:14
329,8124 VÅR,,,2024-03-14 12:11:58
25,2018 HØST-2022 VÅR,,,2018-03-28 01:07:14
330,2024 HØST,,,2024-05-01 06:19:55
27,2017 HØST-2018 HØST,,,2018-04-18 01:10:37
331,2024 HØST-2025 VÅR,,,2024-05-01 06:19:55
29,2017 HØST-2019 VÅR,,,2018-04-19 06:32:54
332,2025 VÅR,,,2024-05-01 06:19:55
31,2017 HØST-2021 VÅR,,,2018-04-19 06:32:54
333,2025 VÅR-2026 HØST,,,2024-05-01 06:19:55
33,2019 VÅR,,,2018-06-20 14:13:41
334,2025 VÅR-2025 HØST,,,2024-05-01 06:19:55
35,2019 VÅR-2020 VÅR,,,2018-06-21 01:03:39
335,2025 VÅR-2026 VÅR,,,2024-05-01 06:19:55
39,2019 VÅR-2022 HØST,,,2018-11-05 13:12:01
336,2024 HØST-2025 HØST,,,2024-05-01 06:19:55
41,2019 HØST,,,2018-12-18 01:08:27
337,2024 HØST-2026 VÅR,,,2024-05-01 06:19:55
74,2019 HØST-2021 HØST,,,2019-03-29 17:14:37
338,2024 HØST-2028 VÅR,,,2024-05-01 06:19:55
76,2019 HØST-2023 VÅR,,,2019-03-29 17:14:37
339,2025 VÅR-2028 HØST,,,2024-05-01 06:19:55
78,1008 VÅR,,,2019-06-03 14:11:21
340,ROH2 HØST,,,2024-08-14 11:12:25
